ADDRESS,ORGANISATION,AddressLine2,AddressLine3,AddressLine4,LOCALITY_NAME,TOWN_NAME,POSTCODE,UPRN,CLASSIFICATION,TERTIARY_CLASS_DESC,LPI_LOGICAL_STATUS,BLPU_LOGICAL_STATUS,BLPU_STATE_STRING,NON_POSTAL
"257G Clepington Road, DUNDEE, DD3 7UE",,,,257G Clepington Road,,DUNDEE,DD3 7UE,9059085727,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257C Clepington Road, DUNDEE, DD3 7UE",,,,257C Clepington Road,,DUNDEE,DD3 7UE,9059084931,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257D Clepington Road, DUNDEE, DD3 7UE",,,,257D Clepington Road,,DUNDEE,DD3 7UE,9059084932,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257E Clepington Road, DUNDEE, DD3 7UE",,,,257E Clepington Road,,DUNDEE,DD3 7UE,9059084933,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257A Clepington Road, DUNDEE, DD3 7UE",,,,257A Clepington Road,,DUNDEE,DD3 7UE,9059084934,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257B Clepington Road, DUNDEE, DD3 7UE",,,,257B Clepington Road,,DUNDEE,DD3 7UE,9059084935,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257J Clepington Road, DUNDEE, DD3 7UE",,,,257J Clepington Road,,DUNDEE,DD3 7UE,9059084928,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257K Clepington Road, DUNDEE, DD3 7UE",,,,257K Clepington Road,,DUNDEE,DD3 7UE,9059085729,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257L Clepington Road, DUNDEE, DD3 7UE",,,,257L Clepington Road,,DUNDEE,DD3 7UE,9059085730,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257M Clepington Road, DUNDEE, DD3 7UE",,,,257M Clepington Road,,DUNDEE,DD3 7UE,9059085716,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"257H Clepington Road, DUNDEE, DD3 7UE",,,,257H Clepington Road,,DUNDEE,DD3 7UE,9059085728,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
